Product,State,n_months,prophet_mse,prophet_rmse,prophet_mae,prophet_mape,sarima_mse,sarima_rmse,sarima_mae,sarima_mape,chosen_model,notes
DEBT COLLECTION,WV,45,,,,,5.307264718800696,2.303750142441818,1.6805709555557904,0.659447949537267,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",OR,45,,,,,1.5416255753152706,1.2416221548100979,0.989316239325654,0.439725783473822,SARIMA,
MORTGAGE,OK,45,,,,,4.831360946918421,2.1980357019207903,1.2863247863816767,0.3704721204860045,SARIMA,
MORTGAGE,UT,45,,,,,1.42341481800319,1.193069494205258,1.039791191863485,0.4483855353674621,SARIMA,
STUDENT LOAN,MD,45,,,,,13.609218770917627,3.6890674663006133,3.5028740946266077,2.718921535717009,SARIMA,
STUDENT LOAN,NC,45,,,,,5.269327627823919,2.29550160701837,2.0218587159628956,0.8235986203864659,SARIMA,
CHECKING OR SAVINGS ACCOUNT,KS,44,,,,,0.8085467687760103,0.8991922868752881,0.7933220567378733,0.652072971855183,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",MN,44,,,,,0.9993237101800553,0.9996617978996973,0.700109649122807,0.32419885398981324,SARIMA,
MORTGAGE,NV,44,,,,,1.1934441366574338,1.092448688340754,1.0263157894736847,0.6118421052631583,SARIMA,
STUDENT LOAN,MA,44,,,,,9.929419869659045,3.1510982005737374,1.8817300450282428,0.5616953197523641,SARIMA,
STUDENT LOAN,SC,44,,,,,1.3333333333333333,1.1547005383792515,1.0,0.48333333333333334,SARIMA,
CHECKING OR SAVINGS ACCOUNT,NM,43,,,,,1.4884366982393038,1.2200150401693022,1.0744497668013198,0.5738483931572461,SARIMA,
DEBT COLLECTION,HI,43,,,,,10.166666666666666,3.1885210782848317,2.5,1.9444444444444446,SARIMA,
DEBT COLLECTION,RI,43,,,,,2.5961772583394187,1.611265731758551,1.2747747747747746,0.3333333333333333,SARIMA,
